CVE_ESTADO,NOM_ESTADO,CLAVE_MUN,NOM_MUN,AMBITO,POB_TOTAL,PCT_POBREZA,PCT_Carencia_Servicios_Basicos_Vivienda,PCT_Carencia_Calidad_Espacio_Vivienda,PCT_Carencia_Servicios_Salud
7,Chiapas,7086,Suchiapa,Ámbito de residencia: rural,5417,65.718377,72.841713,,54.370162
7,Chiapas,7087,Suchiate,Ámbito de residencia: rural,22936,58.501972,87.611851,31.486019,46.218494
7,Chiapas,7088,Sunuapa,Ámbito de residencia: rural,2331,66.308231,79.203152,20.271454,28.765324
7,Chiapas,7089,Tapachula,Ámbito de residencia: rural,109693,66.610986,68.402784,24.878495,73.89016
7,Chiapas,7090,Tapalapa,Ámbito de residencia: rural,4592,78.799003,68.34353,35.803308,21.414004
7,Chiapas,7091,Tapilula,Ámbito de residencia: rural,6237,79.741122,90.263996,20.303445,17.773757
7,Chiapas,7092,Tecpatán,Ámbito de residencia: rural,19582,85.171764,84.529389,18.645378,41.581427
7,Chiapas,7093,Tenejapa,Ámbito de residencia: rural,40248,97.113832,81.369237,40.322622,14.700876
7,Chiapas,7094,Teopisca,Ámbito de residencia: rural,18869,94.584035,49.2951,25.541364,11.596368
7,Chiapas,7096,Tila,Ámbito de residencia: rural,42095,97.207076,97.735668,44.872633,18.565579
7,Chiapas,7097,Tonalá,Ámbito de residencia: rural,37771,62.448874,68.110499,,50.275371
7,Chiapas,7098,Totolapa,Ámbito de residencia: rural,3829,95.31197,90.677966,,13.744703
7,Chiapas,7099,La Trinitaria,Ámbito de residencia: rural,67629,88.727199,74.227568,6.379723,23.361178
7,Chiapas,7100,Tumbalá,Ámbito de residencia: rural,27373,97.405499,95.776603,34.631109,20.633135
7,Chiapas,7101,Tuxtla Gutiérrez,Ámbito de residencia: rural,15559,68.121218,69.705653,,54.339471
7,Chiapas,7102,Tuxtla Chico,Ámbito de residencia: rural,30108,64.300746,70.305159,15.871274,51.154709
7,Chiapas,7103,Tuzantán,Ámbito de residencia: rural,24503,65.188416,66.538473,19.97929,54.243995
7,Chiapas,7104,Tzimol,Ámbito de residencia: rural,6224,82.273265,74.36809,13.350051,21.698487
7,Chiapas,7105,Unión Juárez,Ámbito de residencia: rural,9633,67.047563,54.133064,16.796432,46.458599
7,Chiapas,7106,Venustiano Carranza,Ámbito de residencia: rural,34698,88.315352,96.08622,42.871256,48.503561
7,Chiapas,7107,Villa Corzo,Ámbito de residencia: rural,26265,77.634947,87.062661,32.64608,52.523176
7,Chiapas,7108,Villaflores,Ámbito de residencia: rural,45077,75.528754,41.77434,21.775315,74.945186
7,Chiapas,7109,Yajalón,Ámbito de residencia: rural,27430,97.051614,96.748606,,8.913952
7,Chiapas,7110,San Lucas,Ámbito de residencia: rural,3906,92.751758,86.923678,60.875228,
7,Chiapas,7111,Zinacantán,Ámbito de residencia: rural,25432,97.07208,74.054405,43.544006,13.47144
7,Chiapas,7112,San Juan Cancuc,Ámbito de residencia: rural,26358,99.162072,99.302082,54.712884,16.912877
7,Chiapas,7113,Aldama,Ámbito de residencia: rural,8563,98.948245,79.825087,44.518989,13.93315
7,Chiapas,7114,Benemérito de las Américas,Ámbito de residencia: rural,14137,72.795236,86.591059,23.460034,30.24578
7,Chiapas,7115,Maravilla Tenejapa,Ámbito de residencia: rural,12188,96.723909,89.30764,40.083561,10.31719
7,Chiapas,7116,Marqués de Comillas,Ámbito de residencia: rural,11489,77.397784,92.410904,21.673801,
7,Chiapas,7117,Montecristo de Guerrero,Ámbito de residencia: rural,5922,91.944625,,31.236071,7.097548
7,Chiapas,7118,San Andrés Duraznal,Ámbito de residencia: rural,2204,99.191312,98.382625,45.794824,
7,Chiapas,7119,Santiago el Pinar,Ámbito de residencia: rural,5008,97.292698,84.65944,50.992023,6.933933
7,Chiapas,7120,Capitán Luis Ángel Vidal,Ámbito de residencia: rural,4357,92.108675,,39.391796,9.052334
7,Chiapas,7121,Rincón Chamula San Pedro,Ámbito de residencia: rural,1839,96.51105,80.055249,,
7,Chiapas,7122,El Parral,Ámbito de residencia: rural,3337,80.039497,77.656341,28.816728,51.360037
7,Chiapas,7123,Emiliano Zapata,Ámbito de residencia: rural,5648,78.400439,71.059949,16.770984,42.240955
7,Chiapas,7124,Mezcalapa,Ámbito de residencia: rural,19206,81.134519,70.080792,17.549464,50.565071
8,Chihuahua,8001,Ahumada,Ámbito de residencia: rural,1973,,,,
